elapsed_ms,kind,value,source,iso_time,session_label
58571,rr,828,saved_rr_points,2026-06-13T21:46:20Z,gate-b-300s-live-rr
59479,rr,809,saved_rr_points,2026-06-13T21:46:21Z,gate-b-300s-live-rr
60407,rr,760,saved_rr_points,2026-06-13T21:46:22Z,gate-b-300s-live-rr
61316,rr,741,saved_rr_points,2026-06-13T21:46:23Z,gate-b-300s-live-rr
62245,rr,760,saved_rr_points,2026-06-13T21:46:24Z,gate-b-300s-live-rr
62458,rr,780,saved_rr_points,2026-06-13T21:46:24Z,gate-b-300s-live-rr
63247,rr,789,saved_rr_points,2026-06-13T21:46:25Z,gate-b-300s-live-rr
64472,rr,758,saved_rr_points,2026-06-13T21:46:26Z,gate-b-300s-live-rr
65390,rr,736,saved_rr_points,2026-06-13T21:46:27Z,gate-b-300s-live-rr
66328,rr,793,saved_rr_points,2026-06-13T21:46:28Z,gate-b-300s-live-rr
67233,rr,788,saved_rr_points,2026-06-13T21:46:29Z,gate-b-300s-live-rr
67454,rr,811,saved_rr_points,2026-06-13T21:46:29Z,gate-b-300s-live-rr
68213,rr,759,saved_rr_points,2026-06-13T21:46:30Z,gate-b-300s-live-rr
69216,rr,750,saved_rr_points,2026-06-13T21:46:31Z,gate-b-300s-live-rr
70208,rr,759,saved_rr_points,2026-06-13T21:46:32Z,gate-b-300s-live-rr
70897,rr,810,saved_rr_points,2026-06-13T21:46:32Z,gate-b-300s-live-rr
72198,rr,757,saved_rr_points,2026-06-13T21:46:34Z,gate-b-300s-live-rr
72199,rr,781,saved_rr_points,2026-06-13T21:46:34Z,gate-b-300s-live-rr
72847,rr,741,saved_rr_points,2026-06-13T21:46:34Z,gate-b-300s-live-rr
74075,rr,737,saved_rr_points,2026-06-13T21:46:36Z,gate-b-300s-live-rr
74797,rr,790,saved_rr_points,2026-06-13T21:46:36Z,gate-b-300s-live-rr
75700,rr,750,saved_rr_points,2026-06-13T21:46:37Z,gate-b-300s-live-rr
76747,rr,804,saved_rr_points,2026-06-13T21:46:38Z,gate-b-300s-live-rr
77967,rr,753,saved_rr_points,2026-06-13T21:46:39Z,gate-b-300s-live-rr
77968,rr,798,saved_rr_points,2026-06-13T21:46:39Z,gate-b-300s-live-rr
78593,rr,827,saved_rr_points,2026-06-13T21:46:40Z,gate-b-300s-live-rr
79597,rr,842,saved_rr_points,2026-06-13T21:46:41Z,gate-b-300s-live-rr
80834,rr,815,saved_rr_points,2026-06-13T21:46:42Z,gate-b-300s-live-rr
81770,rr,750,saved_rr_points,2026-06-13T21:46:43Z,gate-b-300s-live-rr
82718,rr,790,saved_rr_points,2026-06-13T21:46:44Z,gate-b-300s-live-rr
83672,rr,789,saved_rr_points,2026-06-13T21:46:45Z,gate-b-300s-live-rr
84632,rr,810,saved_rr_points,2026-06-13T21:46:46Z,gate-b-300s-live-rr
